Brand;Year;# Models;Sales
Samsung        ;2013;65;4444442
Samsung        ;2014;89;392546
Samsung        ;2015;57;3204
Samsung        ;2016;41;3064466
Samsung        ;2017;17;3212633
Samsung        ;2018;0;2950437
Samsung        ;2019;0;296194
Sendo          ;2000;1;
Sendo          ;2001;3;
Sendo          ;2003;4;
Sendo          ;2004;5;
Sendo          ;2005;3;
Sendo          ;2401;2;
Sewon          ;2002;4;
Sewon          ;2004;19;
Sewon          ;2005;1;
Sharp          ;2002;2;
Sharp          ;2003;3;
Sharp          ;2004;9;
Sharp          ;2005;4;
Sharp          ;2006;5;
Sharp          ;2007;3;
Sharp          ;2008;5;
Sharp          ;2009;2;
Sharp          ;2010;3;
Sharp          ;2011;2;
Sharp          ;2012;2;
Sharp          ;2014;1;
Sharp          ;2015;2;
Sharp          ;2016;2;
Siemens        ;1992;0;
Siemens        ;1993;0;
Siemens        ;1994;0;
Siemens        ;1995;0;
Siemens        ;1996;0;
Siemens        ;1997;0;
Siemens        ;1998;5;
Siemens        ;1999;3;
Siemens        ;2000;9;26989
Siemens        ;2001;8;29753
Siemens        ;2002;4;34618
Siemens        ;2003;21;43754
Siemens        ;2004;19;48456
Siemens        ;2005;23;28591
Siemens        ;2006;0;
Siemens        ;2007;0;
Siemens        ;2008;0;
Siemens        ;2009;0;
Siemens        ;2010;0;
Siemens        ;2011;0;
Siemens        ;2012;0;
Siemens        ;2013;0;
Siemens        ;2014;0;
Siemens        ;2015;0;
Siemens        ;2016;0;
Siemens        ;2017;0;
Siemens        ;2018;0;
Siemens        ;2019;0;
Siemens        ;2491;1;
Siemens        ;2522;1;
Sonim          ;2007;1;
Sonim          ;2008;1;
Sonim          ;2009;1;
Sonim          ;2010;4;
Sonim          ;2011;4;
Sonim          ;2014;2;
Sony           ;1992;0;
Sony           ;1993;0;
Sony           ;1994;0;
Sony           ;1995;0;
Sony           ;1996;0;
Sony           ;1997;4;
Sony           ;1998;0;
Sony           ;1999;1;
Sony           ;2000;3;
Sony           ;2001;4;
Sony           ;2002;0;
Sony           ;2003;0;
Sony           ;2004;0;
Sony           ;2005;0;
Sony           ;2006;0;
Sony           ;2007;0;
Sony           ;2008;0;
Sony           ;2009;0;
Sony           ;2010;0;
Sony           ;2011;3;
Sony           ;2012;28;
Sony           ;2013;13;375957
Sony           ;2014;25;37791
Sony           ;2015;25;
Sony           ;2016;8;
Sony           ;2017;5;
Sony           ;2018;0;
Sony           ;2019;0;
Sony           ;2490;1;
Sony Ericsson  ;1992;0;
Sony Ericsson  ;1993;0;
Sony Ericsson  ;1994;0;
Sony Ericsson  ;1995;0;
Sony Ericsson  ;1996;0;
Sony Ericsson  ;1997;0;
Sony Ericsson  ;1998;0;
Sony Ericsson  ;1999;0;
Sony Ericsson  ;2000;0;
Sony Ericsson  ;2001;0;
Sony Ericsson  ;2002;4;
Sony Ericsson  ;2003;9;
Sony Ericsson  ;2004;12;
Sony Ericsson  ;2005;18;
Sony Ericsson  ;2006;25;
Sony Ericsson  ;2007;26;
Sony Ericsson  ;2008;34;934145
Sony Ericsson  ;2009;21;548734
Sony Ericsson  ;2010;17;418192
Sony Ericsson  ;2011;17;325975
Sony Ericsson  ;2012;0;
Sony Ericsson  ;2013;0;
Sony Ericsson  ;2014;0;
